Base Symbol,Manufacturer,MPN,Value,Package Description,Footprint,Height (mm),Tolerance (%),Datasheet,Voltage (capacitor),Dielectric (capacitor)
C,Kemet,C0603C120C5GACTU,12p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C180C5GACTU,18p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.25 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C109B5GACTU,1p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,0.1 pF,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C470J5GAC,47p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C150G5GACTU,15p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C221G3GACTU,220p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C201F5GACTU,200p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C431F5GACTU,430p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C911F5GACTU,910p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C621F5GACTU,620p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C561F5GACTU,560p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C391F5GACTU,390p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C151F5GACTU,150p,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C752F3GACTU,7n5,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C122J5GACTU,1n2,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C103G3GACTU,10n,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C153G3GACTU,15n,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C392J3GACTU,3n9,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C103F4GACTU,10n,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,16V,NP0/C0G
C,Kemet,C0603C103F3GACTU,10n,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C472J3GACTU,4n7,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C472G5GACTU,4n7,0603,Capacitor_SMD:C_0603_1608Metric,0.8,2%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C103J3GACTU,10n,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,25V,NP0/C0G
C,Kemet,C0603C362F5GACTU,3n6,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C472F5GACTU,4n7,0603,Capacitor_SMD:C_0603_1608Metric,0.8,1%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
C,Kemet,C0603C472J5GACTU,4n7,0603,Capacitor_SMD:C_0603_1608Metric,0.8,5%,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf,50V,NP0/C0G
