Manufacturer,MPN,Value,Footprint,Height (mm),Voltage,Tolerance (%),Dielectric,Datasheet
Kemet,C0603C392J3GACTU,3n9,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103F4GACTU,10n,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103F3GACTU,10n,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472J3GACTU,4n7,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472G5GACTU,4n7,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C103J3GACTU,10n,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C362F5GACTU,3n6,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472F5GACTU,4n7,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C472J5GACTU,4n7,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C153F3GACTU,15n,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C102F4GACTU,1n,0603,0.8,16V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C122F5GACTU,1n2,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C432J5GACTU,4n3,0603,0.8,50V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C332F5GACTU,3n3,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C222F1GACTU,2n2,0603,0.8,100V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C330KAGACTU,33p,0603,0.8,250V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C360J4GACTU,36p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C680K4GACTU,68p,0603,0.8,16V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C689C3GACTU,6p8,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C150J3GAC7411,15p,0603,0.8,25V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G1GACTU,47p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C369C5GACTU,3p6,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C820G3GACTU,82p,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C209C3GACTU,2p,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C620F3GACTU,62p,0603,0.8,25V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C300G5GACTU,30p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C209D5GACTU,2p,0603,0.8,50V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C439K5GACTU,4p3,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C180D3GACTU,18p,0603,0.8,25V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G5GACTU,47p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C569C1GACTU,5p6,0603,0.8,100V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240J4GACTU,24p,0603,0.8,16V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C829C3GACTU,8p2,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C139C5GACTU,1p3,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C750G5GACTU,75p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C200C5GACTU,20p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C339C3GACTU,3p3,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240C5GACTU,24p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C100K2GACTU,10p,0603,0.8,200V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C220K1GAC7411,22p,0603,0.8,100V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470F5GAC7411,47p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C479B5GACTU,4p7,0603,0.8,50V,0.1 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C180G1GACTU,18p,0603,0.8,100V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C510G5GACTU,51p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C689C8GACTU,6p8,0603,0.8,10V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C240G3GACTU,24p,0603,0.8,25V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C399B5GACTU,3p9,0603,0.8,50V,0.1 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C159C3GACTU,1p5,0603,0.8,25V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C120D3GACTU,12p,0603,0.8,25V,0.5 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C510K5GACTU,51p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C909C5GACTU,9p,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470G4GACTU,47p,0603,0.8,16V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C910G5GACTU,91p,0603,0.8,50V,2%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C119C5GACTU,1p1,0603,0.8,50V,0.25 pF,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C200K3GACTU,20p,0603,0.8,25V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C360F5GACTU,36p,0603,0.8,50V,1%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C470K8GACTU,47p,0603,0.8,10V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C829J1GACTU,8p2,0603,0.8,100V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C121JAGACTU,120p,0603,0.8,250V,5%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
Kemet,C0603C221K5GAC7411,220p,0603,0.8,50V,10%,NP0/C0G,https://www.mouser.co.uk/datasheet/2/212/KEM_C1003_C0G_SMD-1101588.pdf
